Cycles,Err,Accuracy
0,0.06566599,59.028572
1000,0.064697646,59.014286
2000,0.06353159,60.8
3000,0.06270362,60.911907
4000,0.06170681,63.080956
5000,0.060882993,63.0119
6000,0.060058273,63.561905
7000,0.059075113,63.533337
8000,0.058322575,63.559525
9000,0.057413314,65.38333
10000,0.056821637,65.35477
11000,0.05639198,65.89048
12000,0.055324607,67.36667
13000,0.054719325,68
14000,0.053651903,67.307144
15000,0.05323718,67.447624
16000,0.052399997,69.057144
17000,0.051466897,69.185715
18000,0.05099324,69.22857
19000,0.050308175,69.942856
20000,0.050164882,69.99524
21000,0.04901069,70.52857
22000,0.048398603,71.60238
23000,0.048011784,71.71667
24000,0.04723713,72.46429
25000,0.046708744,72.03571
26000,0.04597249,73.66428
27000,0.045803424,73.10238
28000,0.045097277,74.1119
29000,0.044560853,74.57857
30000,0.044284254,73.38571
31000,0.043717694,74.190475
32000,0.043324534,75.16429
33000,0.042676818,75.557144
34000,0.042148635,75.3
35000,0.041585002,76.066666
36000,0.040990192,75.90238
37000,0.040967148,75.95952
38000,0.040707495,76.03571
39000,0.040109836,76.84762
40000,0.039858818,76.44762
41000,0.039333634,77.25
42000,0.038920656,77.311905
43000,0.038249057,77.209526
44000,0.038155958,77.35952
45000,0.037556477,77.85238
46000,0.03782157,77.316666
47000,0.037333854,77.62143
48000,0.03685709,78.35238
49000,0.036515955,78.40238
50000,0.03633466,78.566666
51000,0.036042098,79.27381
52000,0.035777513,78.86429
53000,0.035708725,79.061905
54000,0.03509718,78.99048
55000,0.0349508,79.47619
56000,0.0346282,79.69524
57000,0.034515247,79.566666
58000,0.034873243,78.46905
59000,0.034330606,79.28095
60000,0.033496093,79.940475
61000,0.033437874,80.13095
62000,0.033355832,80.049995
63000,0.03313902,80.34524
64000,0.033193417,80.059525
65000,0.032918457,80.27619
66000,0.03314861,80.27143
67000,0.032397855,80.13333
68000,0.031908948,80.77857
69000,0.03187776,80.85239
70000,0.032166936,80.40714
71000,0.0319754,80.84048
72000,0.03141307,80.87381
73000,0.031140314,81.38571
74000,0.031092893,81.330956
75000,0.03062872,81.71905
76000,0.030674942,81.52381
