Sigmoid bogstaver,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,4.067460317,0.774233509,0.329216611,0.204
1000,8.432539683,26.94332611,0.029530505,0.535
2000,12.1031746,40.19820378,0.028772206,0.867
3000,17.46031746,53.93310622,0.028727814,1.2
4000,21.23015873,64.92722205,0.027906634,1.532
5000,24.20634921,73.13409724,0.027466304,1.866
6000,26.09126984,79.56023537,0.026851287,2.199
7000,26.28968254,81.72808919,0.026465086,2.537
8000,27.18253968,83.64818829,0.025785934,2.87
9000,27.28174603,84.43790647,0.025558162,3.203
10000,27.57936508,85.01083927,0.025240581,3.537
11000,27.77777778,85.39795602,0.024759959,3.871
12000,27.67857143,85.58377207,0.024275526,4.205
13000,27.67857143,85.7231341,0.024169768,4.537
14000,27.77777778,86.00185816,0.02423706,4.874
15000,27.77777778,86.17218953,0.023832291,5.224
16000,27.77777778,86.26509755,0.023887508,5.561
17000,27.77777778,86.46639827,0.023492028,5.895
18000,27.77777778,86.49736761,0.023614728,6.232
19000,27.77777778,86.63672964,0.023379885,6.565
20000,27.67857143,86.66769898,0.023267032,6.901
21000,27.77777778,86.79157634,0.02302353,7.234
22000,27.67857143,86.79157634,0.023044073,7.567
23000,27.77777778,86.83803035,0.022959178,7.904
24000,27.77777778,86.80706101,0.022957286,8.252
25000,27.77777778,86.760607,0.022739884,8.585
26000,27.77777778,86.96190771,0.022802653,8.925
27000,27.77777778,87.02384639,0.02290672,9.285
28000,27.77777778,87.08578507,0.02254168,9.68
29000,27.77777778,87.03933106,0.022652016,10.022
30000,27.77777778,87.16320842,0.022495122,10.369
31000,27.77777778,87.2251471,0.022489342,10.704
32000,27.77777778,87.19417776,0.022339266,11.039
33000,27.77777778,87.30257046,0.022392696,11.382
34000,27.77777778,87.31805513,0.022377372,11.717
35000,27.77777778,87.37999381,0.022289963,12.051
36000,27.77777778,87.30257046,0.022228779,12.388
37000,27.77777778,87.31805513,0.022236642,12.722
38000,27.77777778,87.36450914,0.02223455,13.057
39000,27.77777778,87.37999381,0.022172174,13.4
40000,27.77777778,87.39547848,0.022196792,13.734
41000,27.77777778,87.41096315,0.022252057,14.069
42000,27.77777778,87.44193249,0.022059598,14.405
43000,27.77777778,87.50387117,0.022062046,14.738
44000,27.77777778,87.45741716,0.022248928,15.073
45000,27.77777778,87.47290183,0.021978752,15.419
46000,27.77777778,87.53484051,0.022061703,15.752
47000,27.77777778,87.51935584,0.021972597,16.087
48000,27.77777778,87.51935584,0.021895961,16.423
49000,27.77777778,87.56580985,0.021995402,16.757
